Timestamp,PM2.5 (µg/m³)
2019-01-01 05:00:00,278.0
2019-01-02 05:00:00,291.0
2019-01-03 05:00:00,292.0
2019-01-04 05:00:00,217.0
2019-01-05 05:00:00,295.0
2019-01-06 05:00:00,243.0
2019-01-07 05:00:00,146.0
2019-01-08 05:00:00,129.0
2019-01-09 05:00:00,153.0
2019-01-10 05:00:00,106.0
2019-01-11 05:00:00,324.0
2019-01-12 05:00:00,293.0
2019-01-13 05:00:00,297.0
2019-01-14 05:00:00,90.0
2019-01-15 05:00:00,
2019-01-16 05:00:00,217.0
2019-01-17 05:00:00,356.0
2019-01-18 05:00:00,270.0
2019-01-19 05:00:00,215.0
2019-01-20 05:00:00,286.0
2019-01-21 05:00:00,145.0
2019-01-22 05:00:00,
2019-01-23 05:00:00,93.0
2019-01-24 05:00:00,128.0
2019-01-25 05:00:00,62.0
2019-01-26 05:00:00,113.0
2019-01-27 05:00:00,
2019-01-28 05:00:00,
2019-01-29 05:00:00,
2019-01-30 05:00:00,
2019-01-31 05:00:00,
2019-02-01 05:00:00,
2019-02-02 05:00:00,
2019-02-03 05:00:00,
2019-02-04 05:00:00,
2019-02-05 05:00:00,
2019-02-06 05:00:00,8.0
2019-02-07 05:00:00,-1.0
2019-02-08 05:00:00,
2019-02-09 05:00:00,9.0
2019-02-10 05:00:00,4.0
2019-02-11 05:00:00,21.0
2019-02-12 05:00:00,156.75
2019-02-13 05:00:00,255.25
2019-02-14 05:00:00,164.5
2019-02-15 05:00:00,43.25
2019-02-16 05:00:00,79.5
2019-02-17 05:00:00,104.25
2019-02-18 05:00:00,152.5
2019-02-19 05:00:00,66.0
2019-02-20 05:00:00,131.5
2019-02-21 05:00:00,72.0
2019-02-22 05:00:00,82.0
2019-02-23 05:00:00,34.5
2019-02-24 05:00:00,102.0
2019-02-25 05:00:00,101.75
2019-02-26 05:00:00,31.25
2019-02-27 05:00:00,14.0
2019-02-28 05:00:00,65.0
2019-03-01 05:00:00,91.0
2019-03-02 05:00:00,61.75
2019-03-03 05:00:00,80.25
2019-03-04 05:00:00,84.25
2019-03-05 05:00:00,63.25
2019-03-06 05:00:00,99.5
2019-03-07 05:00:00,86.0
2019-03-08 05:00:00,58.0
2019-03-09 05:00:00,82.75
2019-03-10 05:00:00,91.0
2019-03-11 05:00:00,71.0
2019-03-12 05:00:00,65.5
2019-03-13 05:00:00,
2019-03-14 05:00:00,
2019-03-15 05:00:00,
2019-03-16 05:00:00,68.75
2019-03-17 05:00:00,90.0
2019-03-18 05:00:00,117.75
2019-03-19 05:00:00,111.0
2019-03-20 05:00:00,86.75
2019-03-21 05:00:00,142.5
2019-03-22 05:00:00,4.75
2019-03-23 05:00:00,62.0
2019-03-24 05:00:00,40.5
2019-03-25 05:00:00,
2019-03-26 05:00:00,62.25
2019-03-27 05:00:00,76.25
2019-03-28 05:00:00,78.25
2019-03-29 05:00:00,174.5
